STAT,182,2017 SPRING,3.52
STAT,201,2021,SPRING,HERNANDEZ,2.813,507,22,30,16,1,6,0,10,0,0,0
STAT,201,2021,SPRING,GHOSH P,3.602,506,68,11,4,4,1,0,9,0,0,0
STAT,201,2021,SPRING,ROY CHOWDHURY A,3.215,505,45,28,16,3,1,0,5,0,0,0
STAT,201,2021,SPRING,HERNANDEZ,2.844,504,22,36,30,0,2,0,8,0,0,0
STAT,201,2021,SPRING,KUNDU A,3.286,503,12,21,2,0,0,0,3,0,0,0
STAT,201,2021,SPRING,GHOSH P,3.613,502,65,22,5,0,1,0,5,0,0,0
STAT,201,2021,SPRING,GHOSH P,3.543,501,64,24,2,1,3,0,5,0,0,0
STAT,201,2020,FALL,ROY CHOWDHURY A,3.065,509,31,28,13,2,3,0,2,0,0,0
STAT,201,2020,FALL,KUNDU A,3.304,508,38,28,12,1,0,0,6,0,0,0
STAT,201,2020,FALL,HERNANDEZ,2.784,507,26,34,37,4,1,0,6,0,0,0
STAT,201,2020,FALL,HERNANDEZ,3.011,506,25,43,18,3,0,0,1,0,0,0
STAT,201,2020,FALL,DAS R,3.000,505,30,29,18,3,2,0,10,0,0,0
STAT,201,2020,FALL,KIM R,3.067,504,42,46,30,2,0,0,4,0,0,0
STAT,201,2020,FALL,ROITERCHTEIN A,3.253,503,46,32,21,0,0,0,1,0,0,0
STAT,201,2020,SUMMER,PLUMMER S (H),2.660,201,13,22,10,3,5,0,1,0,0,1
STAT,201,2020,SUMMER,GHOSH P,3.448,101,36,14,7,0,1,0,5,0,0,0
STAT,201,2020,SPRING,RAHMAN S,3.608,509,65,27,4,1,0,0,0,0,0,0
STAT,201,2020,SPRING,PLUMMER S,3.271,508,35,52,9,0,0,0,1,0,0,0
STAT,201,2020,SPRING,THOMPSON E,3.086,507,23,20,13,1,1,0,0,0,0,0
STAT,201,2020,SPRING,HERNANDEZ,2.918,506,20,42,20,2,1,0,0,0,0,0
STAT,201,2020,SPRING,ALEXANDER B,2.920,505,15,20,13,0,2,0,0,0,0,0
STAT,201,2020,SPRING,PANTOJA K,3.000,504,21,28,19,1,0,0,0,0,0,0
